NAME,arableLand
Abala,193065.56470588234
Abalak,823267.525490196
Aderbissanat,9660.156862745098
Agui�,2247290.6588235274
Arlit,8.0
Ayorou,68566.3568627451
Bagaroua,0.0
Balleyara,358245.90196078416
Banibangou,16494.05098039216
Bankilar�,7306.686274509804
Belbedji,1960503.5490196072
Bermo,773948.0705882355
Bilma,0.0
Birni N'Konni,110886.10196077908
Boboye,1318342.6784313712
Bosso,26667.11372549034
Bouza,1468542.9686274512
Dakoro,9253736.36470588
Damagaram Takaya,2533755.1960784327
Diffa,832768.4392156524
Dioundiou,379256.10196078446
Dogondoutchi,630029.6196078431
Dosso,4573611.054901961
Dungass,4660781.058823528
Falmey,16094.427450980393
Filingu�,547925.3098039215
Gaya,426143.6235294111
Gazaoua,1236313.282352941
Goth�ye,1182088.4549019558
Goudoumaria,286237.8509803922
Gour�,5669811.431372553
Guidan-Roumdji,4827615.36862745
If�rouane,2169.0
Ill�la,32895.211764705906
Ingall,2609.6352941176474
K�ita,336575.14509803907
Kollo,1809922.027450984
Loga,1996238.6470588176
Madaoua,1776026.6862745087
Madarounfa,3700404.670588233
Magaria,4569366.317647061
Ma�n�-Soroa,245397.08235294133
Malbaza,71303.42352941202
Matam�ye,2602527.6627450986
Mayahi,5462699.384313726
Mirriah,4187068.317647057
N'Gourti,0.0
N'Guigmi,330.43921568627457
Niamey,156402.02745097637
Ouallam,256242.3019607843
Say,1199305.7098039219
Tahoua,13457.584313725485
Taki�ta,3127789.247058819
Tanout,7115514.215686275
Tassara,97.04313725490195
Tchintabaraden,1.0
Tchiroz�rine,100483.0
T�ra,1245400.8470588212
Tesker,0.0
Tessaoua,5489069.988235294
Tibiri,205062.29411764714
Tillab�ri,132586.65882353246
Tillia,2.0
Torodi,907714.8509803924
